Product,Jan23,Dec22,Nov22,Oct22,Sep22,Aug22
Sodium bicarbonate 8.4% (1mmol/ml) solution for injection 250ml bottles 10,£104.04,£104.04,£104.04,£104.04,£104.04,£104.04
Sodium bicarbonate powder 300,£2.23,£2.23,£2.23,£2.23,£2.23,£2.23
Sodium chloride 0.18% / Glucose 4% infusion 500ml polyethylene bottles 1,£2.40,£2.40,£2.40,£2.40,£2.40,£2.40
Sodium chloride 0.9% eye drops 0.5ml unit dose preservative free 20,£7.43,£7.43,£7.43,£7.43,£7.43,£7.43
Sodium chloride 0.9% infusion 1litre polyethylene bottles 1,£4.12,£4.12,£4.12,£4.12,£4.12,£4.12
Sodium chloride 0.9% infusion 500ml polyethylene bottles 1,£3.10,£3.10,£3.10,£3.10,£3.10,£3.10
Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules 20,£7.59,£8.12,£7.78,£7.78,£6.72,£6.72
Sodium chloride 0.9% solution for injection 10ml ampoules 10,£4.14,£3.99,£4.16,£3.82,£3.81,£3.82
Sodium chloride 0.9% solution for injection 20ml ampoules 20,£19.87,£19.87,£19.87,£19.87,£19.87,£19.87
Sodium chloride 0.9% solution for injection 2ml ampoules 10,£3.27,£3.20,£3.30,£3.09,£3.09,£3.08
Sodium chloride 0.9% solution for injection 50ml vials 25,£85.01,£85.01,£85.01,£85.01,£85.01,£85.01
Sodium chloride 0.9% solution for injection 5ml ampoules 10,£3.69,£3.69,£3.69,£3.68,£3.69,£3.66
Sodium chloride 1.46g/5ml (5mmol/ml) oral solution 100,£19.55,£19.55,£19.55,£19.55,£19.55,£19.55
Sodium chloride 292.5mg/5ml (1mmol/ml) oral solution 100,£33.16,£33.15,£33.16,£33.14,£33.17,£33.11
Sodium chloride 30% solution for infusion 100ml vials 10,£65.40,£65.40,£75.20,£61.70,£61.70,£61.70
Sodium chloride 30% solution for infusion 50ml vials 1,£15.36,£15.36,£15.36,£15.36,£15.36,£15.36
Sodium chloride 30% solution for infusion 50ml vials 10,£90.20,£15.36,£15.36,£15.36,£15.36,£15.36
Sodium chloride 30% solution for injection 10ml ampoules 10,£82.85,£82.85,£82.85,£82.85,£82.85,£82.85
Sodium chloride 600mg modified-release tablets 100,£9.20,£9.20,£9.20,£9.20,£9.20,£9.20
Sodium citrate 441.17mg/5ml oral solution 30,£4.70,£4.70,£4.70,£4.70,£4.70,£4.70
Sodium citrate 4g oral granules sachets 6,£2.38,£2.38,£2.38,£2.38,£2.38,£2.38
Sodium citrate 4g oral powder sachets 6,£1.73,£1.73,£1.73,£1.73,£1.73,£1.73
Sodium citrate powder 500,£7.85,£7.85,£7.85,£7.85,£7.85,£7.85
Sodium clodronate 400mg capsules 120,£139.83,£139.83,£139.83,£139.83,£139.83,£139.83
Sodium clodronate 520mg tablets 60,£114.44,£114.44,£114.44,£114.44,£114.44,£114.44
Sodium clodronate 800mg tablets 60,£146.43,£146.43,£146.43,£146.43,£146.43,£146.43
Sodium cromoglicate 100mg capsules 100,£98.51,£92.88,£86.69,£84.30,£84.30,£84.30
Sodium cromoglicate 100mg/5ml oral solution 5ml unit dose ampoules sugar free 96,£121.86,£121.86,£121.86,£121.86,£121.86,£121.86
Sodium cromoglicate 2% eye drops 13.5,£6.14,£8.25,£7.90,£7.90,£5.47,£5.47
Sodium cromoglicate 2% eye drops 0.3ml unit dose preservative free 30,£9.66,£9.66,£9.66,£9.66,£9.66,£9.66
Sodium cromoglicate 2% eye drops preservative free 10,£3.80,£3.80,£3.80,£3.80,£3.80,£3.80
Sodium cromoglicate 2% eye drops preservative free 13.5,£8.03,£3.80,£3.80,£3.80,£3.80,£3.80
Sodium dihydrogen phosphate anhydrous 1.936g effervescent tablets 100,£19.39,£19.39,£19.39,£19.39,£19.39,£19.39
Sodium dihydrogen phosphate anhydrous 340mg / Sodium bicarbonate 250mg suppositories 10,£8.20,£8.20,£8.20,£8.20,£8.20,£8.20
Sodium dihydrogen phosphate anhydrous 680mg / Sodium bicarbonate 500mg suppositories 10,£8.20,£8.20,£8.20,£8.20,£8.20,£8.20
Sodium dihydrogen phosphate dihydrate 18.1% / Disodium hydrogen phosphate dodecahydrate 8% 133ml enema 1,£3.08,£3.08,£3.08,£3.08,£3.08,£3.08
Sodium dihydrogen phosphate dihydrate 542mg/ml / Disodium hydrogen phosphate dodecahydrate 240mg/ml oral solution sugar free 90,£4.79,£4.79,£4.79,£4.79,£4.79,£4.79
Sodium feredetate (iron 27.5mg/5ml) oral solution sugar free 500,£14.95,£14.95,£14.95,£14.95,£14.95,£14.95
Sodium fluoride 0.05% mouthwash sugar free 250,£1.94,£1.94,£1.94,£1.51,£1.51,£1.51
Sodium fluoride 0.37% oral drops sugar free 60,£2.38,£2.38,£2.38,£2.38,£2.38,£2.38
Sodium fluoride 0.619% dental paste sugar free 75,£3.29,£3.16,£3.04,£3.04,£2.95,£2.95
Sodium fluoride 1.1% dental paste sugar free 51,£5.77,£5.91,£5.67,£5.67,£5.47,£5.47
Sodium fluoride 1.1mg tablets 200,£2.38,£2.38,£2.38,£2.38,£2.38,£2.38
Sodium fluoride 2.2mg tablets 200,£2.38,£2.38,£2.38,£2.38,£2.38,£2.38
Sodium fluoride 50mg/ml dental suspension sugar free 75,£18.15,£18.15,£18.15,£18.15,£18.15,£18.15
Sodium fusidate 2% ointment 15,£2.68,£2.68,£2.68,£2.68,£2.68,£2.68
Sodium fusidate 2% ointment 30,£4.55,£2.68,£2.68,£2.68,£2.68,£2.68
Sodium fusidate 250mg tablets 10,£6.02,£6.02,£6.02,£6.02,£6.02,£6.02
Sodium fusidate 250mg tablets 100,£54.99,£6.02,£6.02,£6.02,£6.02,£6.02
Sodium fusidate 500mg powder and solvent for solution for infusion vials 1,£21.95,£21.95,£21.95,£21.43,£21.43,£20.90
Sodium lauryl ether sulfo-succinate 6% / Sodium lauryl ether sulfate 2.7% shampoo 125,£2.59,£2.59,£2.59,£2.59,£2.59,£2.59
Sodium oxybate 500mg/ml oral solution sugar free 180,£360.00,£360.00,£360.00,£360.00,£360.00,£360.00
Sodium phenylbutyrate 500mg tablets 250,£493.00,£493.00,£493.00,£493.00,£493.00,£493.00
Sodium picosulfate 5mg/5ml oral solution sugar free 300,£23.16,£21.58,£24.41,£17.67,£14.86,£13.77
Sodium polystyrene sulfonate powder sugar free 454,£81.11,£81.11,£81.11,£81.11,£81.11,£81.11
Sodium valproate 100mg modified-release granules sachets sugar free 30,£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
Sodium valproate 100mg tablets 30,£1.68,£1.68,£1.68,£1.68,£1.68,£1.68
Sodium valproate 150mg modified-release capsules 30,£2.76,£2.76,£2.76,£2.76,£2.76,£7.00
Sodium valproate 1g modified-release granules sachets sugar free 30,£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
Sodium valproate 200mg gastro-resistant tablets 30,£2.46,£2.65,£2.54,£2.54,£2.45,£2.45
Sodium valproate 200mg gastro-resistant tablets 100,£8.21,£2.65,£2.54,£2.54,£2.45,£2.45
Sodium valproate 200mg modified-release tablets 30,£3.50,£3.50,£3.50,£3.50,£3.50,£3.50
Sodium valproate 200mg/5ml oral solution 300,£9.33,£9.33,£9.33,£9.33,£9.33,£9.33
Sodium valproate 200mg/5ml oral solution sugar free 300,£8.39,£9.03,£8.65,£8.65,£8.32,£8.32
Sodium valproate 250mg modified-release granules sachets sugar free 30,£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
Sodium valproate 300mg modified-release capsules 30,£4.56,£4.56,£4.56,£4.56,£4.56,£13.00
Sodium valproate 300mg modified-release tablets 30,£5.24,£5.24,£5.24,£5.24,£5.24,£5.24
Sodium valproate 300mg/3ml solution for injection ampoules 5,£35.00,£35.00,£35.00,£35.00,£35.00,£35.00
Sodium valproate 400mg powder and solvent for solution for injection vials 1,£13.32,£13.32,£13.32,£13.32,£13.32,£13.32
Sodium valproate 400mg/4ml solution for injection ampoules 5,£57.90,£57.90,£57.90,£57.90,£57.90,£57.90
Sodium valproate 500mg gastro-resistant tablets 30,£5.96,£6.45,£6.17,£6.17,£5.96,£5.96
Sodium valproate 500mg gastro-resistant tablets 100,£19.86,£6.45,£6.17,£6.17,£5.96,£5.96
Sodium valproate 500mg modified-release granules sachets sugar free 30,£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
Sodium valproate 500mg modified-release granules sachets sugar free 100,£21.00,£30.00,£30.00,£30.00,£30.00,£30.00
Sodium valproate 500mg modified-release tablets 30,£8.73,£8.73,£8.73,£8.73,£8.73,£8.73
Sodium valproate 50mg modified-release granules sachets sugar free 30,£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
Sodium valproate 750mg modified-release granules sachets sugar free 30,£30.00,£30.00,£30.00,£30.00,£30.00,£30.00
Sodium zirconium cyclosilicate 10g oral powder sachets 3,£31.20,£31.20,£31.20,£31.20,£31.20,£31.20
Sodium zirconium cyclosilicate 10g oral powder sachets 30,£312.00,£31.20,£31.20,£31.20,£31.20,£31.20
Sodium zirconium cyclosilicate 5g oral powder sachets 30,£156.00,£156.00,£156.00,£156.00,£156.00,£156.00
Solifenacin 10mg tablets 30,£2.33,£3.71,£3.56,£3.56,£1.74,£1.74
Solifenacin 1mg/ml oral suspension sugar free 150,£27.62,£27.62,£27.62,£27.62,£27.62,£27.62
Solifenacin 5mg tablets 30,£2.37,£3.17,£3.04,£3.04,£1.64,£1.64
Solifenacin 5mg/5ml oral solution sugar free 150,£69.71,£61.72,£70.24,£34.55,£34.32,£34.55
Solifenacin 6mg / Tamsulosin 400microgram modified-release tablets 30,£27.62,£27.62,£27.62,£27.62,£27.62,£27.62
Somatropin (epr) 10mg/1.5ml solution for injection cartridges 1,£212.70,£212.70,£212.70,£212.70,£212.70,£212.70
Somatropin (epr) 10mg/1.5ml solution for injection pre-filled disposable devices 1,£231.80,£231.80,£231.80,£231.80,£231.80,£231.80
Somatropin (epr) 15mg/1.5ml solution for injection cartridges 1,£319.05,£319.05,£319.05,£319.05,£319.05,£319.05
Somatropin (epr) 15mg/1.5ml solution for injection pre-filled disposable devices 1,£347.70,£347.70,£347.70,£347.70,£347.70,£347.70
Somatropin (epr) 5mg/1.5ml solution for injection cartridges 1,£106.35,£106.35,£106.35,£106.35,£106.35,£106.35
Somatropin (epr) 5mg/1.5ml solution for injection pre-filled disposable devices 1,£115.90,£115.90,£115.90,£115.90,£115.90,£115.90
Somatropin (rbe) 1.2mg powder and solvent for solution for injection pre-filled disposable devices 7,£146.06,£146.06,£146.06,£146.06,£146.06,£146.06
Somatropin (rbe) 1.4mg powder and solvent for solution for injection pre-filled disposable devices 7,£170.39,£170.39,£170.39,£170.39,£170.39,£170.39
Somatropin (rbe) 1.6mg powder and solvent for solution for injection pre-filled disposable devices 7,£194.74,£194.74,£194.74,£194.74,£194.74,£194.74
Somatropin (rbe) 1.8mg powder and solvent for solution for injection pre-filled disposable devices 7,£219.08,£219.08,£219.08,£219.08,£219.08,£219.08
Somatropin (rbe) 10mg/1.5ml solution for injection cartridges 5,£737.49,£737.49,£737.49,£737.49,£737.49,£737.49
Somatropin (rbe) 10mg/2ml solution for injection cartridges 1,£203.00,£203.00,£203.00,£203.00,£203.00,£203.00
Somatropin (rbe) 10mg/2ml solution for injection cartridges 3,£609.00,£203.00,£203.00,£203.00,£203.00,£203.00
Somatropin (rbe) 12mg powder and solvent for solution for injection cartridges 1,£208.65,£208.65,£208.65,£208.65,£208.65,£208.65
Somatropin (rbe) 12mg powder and solvent for solution for injection pre-filled disposable devices 1,£208.65,£208.65,£208.65,£208.65,£208.65,£208.65
Somatropin (rbe) 15mg/1.5ml solution for injection cartridges 5,"£1,106.22","£1,106.22","£1,106.22","£1,106.22","£1,106.22","£1,106.22"
Somatropin (rbe) 1mg powder and solvent for solution for injection pre-filled disposable devices 7,£121.71,£121.71,£121.71,£121.71,£121.71,£121.71
Somatropin (rbe) 200microgram powder and solvent for solution for injection pre-filled disposable devices 7,£24.35,£24.35,£24.35,£24.35,£24.35,£24.35
Somatropin (rbe) 24mg powder and solvent for solution for injection cartridges 1,£432.00,£432.00,£432.00,£432.00,£432.00,£432.00
Somatropin (rbe) 2mg powder and solvent for solution for injection pre-filled disposable devices 7,£243.42,£243.42,£243.42,£243.42,£243.42,£243.42
Somatropin (rbe) 400microgram powder and solvent for solution for injection pre-filled disposable devices 7,£48.68,£48.68,£48.68,£48.68,£48.68,£48.68
Somatropin (rbe) 4mg powder and solvent for solution for injection vials 1,£68.28,£68.28,£68.28,£68.28,£68.28,£68.28
Somatropin (rbe) 5.3mg powder and solvent for solution for injection cartridges 1,£92.15,£92.15,£92.15,£92.15,£92.15,£92.15
Somatropin (rbe) 5.3mg powder and solvent for solution for injection pre-filled disposable devices 1,£92.15,£92.15,£92.15,£92.15,£92.15,£92.15
Somatropin (rbe) 5mg/1.5ml solution for injection cartridges 5,£368.74,£368.74,£368.74,£368.74,£368.74,£368.74
Somatropin (rbe) 600microgram powder and solvent for solution for injection pre-filled disposable devices 7,£73.03,£73.03,£73.03,£73.03,£73.03,£73.03
Somatropin (rbe) 6mg powder and solvent for solution for injection cartridges 1,£108.00,£108.00,£108.00,£108.00,£108.00,£108.00
Somatropin (rbe) 800microgram powder and solvent for solution for injection pre-filled disposable devices 7,£97.37,£97.37,£97.37,£97.37,£97.37,£97.37
Somatropin (rmc) 12mg/1.5ml solution for injection cartridges 1,£278.16,£278.16,£278.16,£278.16,£278.16,£278.16
Somatropin (rmc) 20mg/2.5ml solution for injection cartridges 1,£463.60,£463.60,£463.60,£463.60,£463.60,£463.60
Somatropin (rmc) 6mg/1.03ml solution for injection cartridges 1,£139.08,£139.08,£139.08,£139.08,£139.08,£139.08
Sotalol 160mg tablets 28,£4.67,£4.67,£4.67,£4.67,£4.67,£4.67
Sotalol 40mg tablets 28,£0.98,£0.96,£0.94,£0.94,£0.96,£0.96
Sotalol 80mg tablets 28,£1.04,£1.11,£1.08,£1.08,£1.04,£1.04
Soya oil 82.95% / Lauromacrogols 15% bath oil 500,£6.66,£6.66,£6.66,£6.66,£6.66,£6.66
Soya oil 84.75% bath oil 500,£5.38,£5.38,£5.38,£5.38,£5.38,£5.38
Spironolactone 100mg tablets 28,£1.89,£2.06,£1.98,£1.98,£1.90,£1.90
Spironolactone 12.5mg tablets 28,£20.76,£20.51,£20.50,£20.52,£20.47,£20.57
Spironolactone 25mg tablets 28,£1.36,£1.42,£1.37,£1.37,£1.36,£1.36
Spironolactone 50mg / Furosemide 20mg capsules 28,£7.97,£7.97,£7.97,£7.97,£7.97,£7.97
Spironolactone 50mg tablets 28,£2.18,£2.34,£2.25,£2.25,£2.25,£2.25
Squill oxymel 2000,£32.70,£32.70,£32.70,£32.70,£32.70,£32.70
Sterculia 62% / Frangula 8% granules 7g sachets gluten free 60,£7.12,£7.12,£7.12,£7.12,£7.12,£7.12
Sterculia 62% / Frangula 8% granules gluten free 500,£8.45,£8.45,£8.45,£8.45,£8.45,£8.45
Sterculia 62% granules 7g sachets gluten free 60,£6.67,£6.67,£6.67,£6.67,£6.67,£6.67
Sterculia 62% granules gluten free 500,£7.92,£7.92,£7.92,£7.92,£7.92,£7.92
Stiripentol 250mg capsules 60,£284.00,£284.00,£284.00,£284.00,£284.00,£284.00
Stiripentol 250mg oral powder sachets 60,£284.00,£284.00,£284.00,£284.00,£284.00,£284.00
Stiripentol 500mg capsules 60,£493.00,£493.00,£493.00,£493.00,£493.00,£493.00
Stiripentol 500mg oral powder sachets 60,£493.00,£493.00,£493.00,£493.00,£493.00,£493.00
Strontium ranelate 2g granules sachets sugar free 28,£149.91,£149.91,£149.91,£149.91,£149.91,£149.91
Sucralfate 1g/5ml oral suspension sugar free 200,£174.65,£174.65,£174.65,£124.87,£124.87,£124.87
Sucroferric oxyhydroxide (iron 500mg) chewable tablets 90,£179.00,£179.00,£179.00,£179.00,£179.00,£179.00
Sulfadiazine 500mg tablets 56,£427.14,£423.17,£422.93,£423.40,£422.45,£424.34
Sulfadiazine silver 1% cream 50,£3.85,£4.24,£4.24,£4.24,£3.85,£3.85
Sulfadiazine silver 1% cream 250,£10.32,£4.24,£4.24,£4.24,£3.85,£3.85
Sulfadiazine silver 1% cream 500,£18.27,£4.24,£4.24,£4.24,£3.85,£3.85
Sulfasalazine 250mg/5ml oral suspension sugar free 500,£125.00,£125.00,£125.00,£125.00,£94.22,£94.22
Sulfasalazine 500mg gastro-resistant tablets 112,£70.17,£65.49,£62.66,£62.66,£39.16,£39.16
Sulfasalazine 500mg suppositories 10,£3.30,£3.30,£3.30,£3.30,£3.30,£3.30
Sulfasalazine 500mg tablets 112,£72.93,£58.10,£55.59,£55.59,£32.85,£32.85
Sulfur sublimed powder 500,£7.68,£7.68,£7.68,£7.68,£7.68,£7.68
Sulindac 100mg tablets 56,£29.79,£29.79,£29.79,£29.79,£29.79,£29.79
Sulindac 200mg tablets 56,£38.30,£38.30,£38.30,£38.30,£38.30,£38.30
Sulpiride 200mg tablets 30,£4.29,£4.62,£4.44,£4.44,£4.66,£4.66
Sulpiride 200mg/5ml oral solution sugar free 150,£93.64,£93.64,£93.64,£93.64,£93.64,£93.64
Sulpiride 400mg tablets 30,£22.50,£22.50,£22.50,£22.50,£22.50,£22.50
Sumatriptan 100mg tablets 6,£1.40,£1.25,£1.21,£1.21,£1.21,£1.21
Sumatriptan 10mg/0.1ml nasal spray unit dose 2,£14.16,£14.16,£14.16,£14.16,£14.16,£14.16
Sumatriptan 20mg/0.1ml nasal spray unit dose 6,£42.47,£42.47,£42.47,£42.47,£42.47,£42.47
Sumatriptan 3mg/0.5ml solution for injection pre-filled disposable devices 2,£39.50,£39.50,£39.50,£39.50,£39.50,£39.50
Sumatriptan 50mg tablets 6,£1.12,£1.08,£1.04,£1.04,£1.07,£1.07
Sumatriptan 6mg/0.5ml solution for injection pre-filled disposable devices 2,£45.00,£45.00,£45.00,£45.00,£45.00,£45.00
Sumatriptan 6mg/0.5ml solution for injection pre-filled syringes with device 2,£50.96,£50.96,£50.96,£50.96,£50.96,£50.96
Sumatriptan 6mg/0.5ml solution for injection syringe refill 2,£48.49,£48.49,£48.49,£48.49,£48.49,£48.49
Surgical spirit 200,£1.17,£1.17,£1.17,£1.17,£1.17,£1.17
Tacalcitol 4micrograms/g lotion 30,£12.73,£12.73,£12.73,£12.73,£12.73,£12.73
Tacalcitol 4micrograms/g ointment 30,£13.40,£13.40,£13.40,£13.40,£13.40,£13.40
Tacalcitol 4micrograms/g ointment 100,£30.86,£13.40,£13.40,£13.40,£13.40,£13.40
Tacrolimus 0.03% ointment 30,£23.33,£23.33,£23.33,£23.33,£23.33,£23.33
Tacrolimus 0.03% ointment 60,£42.55,£23.33,£23.33,£23.33,£23.33,£23.33
Tacrolimus 0.1% ointment 30,£15.82,£17.06,£16.33,£16.33,£15.91,£15.91
Tacrolimus 0.1% ointment 60,£31.64,£17.06,£16.33,£16.33,£15.91,£15.91
Tacrolimus 1mg capsules 50,£80.28,£80.28,£80.28,£80.28,£80.28,£80.28
Tacrolimus 1mg granules sachets sugar free 50,£356.65,£356.65,£356.65,£356.65,£356.65,£356.65
Tacrolimus 1mg modified-release capsules 50,£71.59,£71.59,£71.59,£71.59,£71.59,£71.59
Tacrolimus 1mg modified-release capsules 100,£143.17,£71.59,£71.59,£71.59,£71.59,£71.59
Tacrolimus 1mg modified-release tablets 30,£59.10,£59.10,£59.10,£59.10,£59.10,£59.10
Tacrolimus 200microgram granules sachets sugar free 50,£71.30,£71.30,£71.30,£71.30,£71.30,£71.30
Tacrolimus 2mg capsules 50,£111.00,£111.00,£111.00,£111.00,£111.00,£111.00
Tacrolimus 3mg modified-release capsules 50,£214.76,£214.76,£214.76,£214.76,£214.76,£214.76
Tacrolimus 4mg modified-release tablets 30,£236.40,£236.40,£236.40,£236.40,£236.40,£236.40
Tacrolimus 500microgram capsules 50,£61.88,£61.88,£61.88,£61.88,£61.88,£61.88
Tacrolimus 500microgram modified-release capsules 50,£35.79,£35.79,£35.79,£35.79,£35.79,£35.79
Tacrolimus 5mg capsules 50,£296.58,£296.58,£296.58,£296.58,£296.58,£296.58
Tacrolimus 5mg modified-release capsules 50,£266.92,£266.92,£266.92,£266.92,£266.92,£266.92
Tacrolimus 750microgram capsules 50,£51.75,£51.75,£51.75,£51.75,£51.75,£51.75
Tacrolimus 750microgram modified-release tablets 30,£44.33,£44.33,£44.33,£44.33,£44.33,£44.33
Tadalafil 10mg tablets 4,£0.96,£0.98,£0.95,£0.95,£0.92,£0.92
Tadalafil 2.5mg tablets 28,£32.32,£32.22,£32.09,£31.92,£31.70,£31.41
Tadalafil 20mg tablets 4,£1.07,£1.15,£1.11,£1.11,£1.07,£1.07
Tadalafil 5mg tablets 28,£1.95,£2.19,£2.10,£2.10,£2.14,£2.14
Tafluprost 15micrograms/ml / Timolol 5mg/ml eye drops 0.3ml unit dose preservative free 30,£14.50,£14.50,£14.50,£14.50,£14.50,£14.50
Tafluprost 15micrograms/ml eye drops 3,£11.39,£11.39,£11.39,£11.39,£11.39,£11.39
Tafluprost 15micrograms/ml eye drops 0.3ml unit dose preservative free 30,£12.20,£12.20,£12.20,£12.20,£12.20,£12.20
Tamoxifen 10mg tablets 30,£38.01,£38.01,£38.01,£38.01,£38.01,£38.01
Tamoxifen 10mg/5ml oral solution sugar free 150,£99.00,£99.00,£99.00,£99.00,£74.52,£74.52
Tamoxifen 20mg tablets 30,£2.53,£2.77,£2.66,£2.66,£2.99,£2.99
Tamoxifen 40mg tablets 30,£95.16,£95.19,£95.12,£95.26,£94.98,£95.53
Tamsulosin 400microgram / Dutasteride 500microgram capsules 30,£3.73,£2.64,£2.53,£2.53,£2.29,£2.29
Tamsulosin 400microgram modified-release capsules 30,£1.16,£1.17,£1.14,£1.14,£1.14,£1.14
Tamsulosin 400microgram modified-release tablets 30,£10.47,£10.47,£10.47,£10.47,£10.47,£10.47
Tapentadol 100mg modified-release capsules 56,£42.35,£42.35,£42.35,,,
Tapentadol 100mg modified-release tablets 56,£49.82,£49.82,£49.82,£49.82,£49.82,£49.82
Tapentadol 150mg modified-release capsules 56,£63.52,£63.52,£63.52,,,
Tapentadol 150mg modified-release tablets 56,£74.73,£74.73,£74.73,£74.73,£74.73,£74.73
Tapentadol 200mg modified-release capsules 56,£84.69,£84.69,£84.69,,,
Tapentadol 200mg modified-release tablets 56,£99.64,£99.64,£99.64,£99.64,£99.64,£99.64
Tapentadol 20mg/ml oral solution sugar free 100,£17.80,£17.80,£17.80,£17.80,£17.80,£17.80
Tapentadol 250mg modified-release capsules 56,£105.87,£105.87,£105.87,,,
Tapentadol 250mg modified-release tablets 56,£124.55,£124.55,£124.55,£124.55,£124.55,£124.55
Tapentadol 25mg modified-release tablets 56,£10.59,£10.59,£10.59,£10.59,£10.59,£10.59
Tapentadol 50mg modified-release capsules 28,£10.59,£10.59,£10.59,,,
Tapentadol 50mg modified-release capsules 56,£21.17,£10.59,£10.59,,,
Tapentadol 50mg modified-release tablets 28,£12.46,£12.46,£12.46,£12.46,£12.46,£12.46
Tapentadol 50mg modified-release tablets 56,£24.91,£12.46,£12.46,£12.46,£12.46,£12.46
Tapentadol 50mg tablets 28,£12.46,£12.46,£12.46,£12.46,£12.46,£12.46
Tapentadol 75mg tablets 28,£18.68,£18.68,£18.68,£18.68,£18.68,£18.68
Tapentadol 75mg tablets 56,£37.37,£18.68,£18.68,£18.68,£18.68,£18.68
Tartaric acid powder 500,£11.57,£11.57,£11.57,£11.57,£11.57,£11.57
Teicoplanin 200mg powder and solvent for solution for injection vials 1,£3.93,£3.93,£3.93,£3.93,£3.93,£3.93
Teicoplanin 400mg powder and solvent for solution for injection vials 1,£7.32,£7.32,£7.32,£7.32,£7.32,£7.32
Telmisartan 20mg tablets 28,£3.24,£1.47,£1.42,£1.42,£1.21,£1.21
Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets 28,£13.61,£13.61,£13.61,£13.61,£13.61,£13.61
Telmisartan 40mg tablets 28,£2.19,£1.35,£1.30,£1.30,£1.42,£1.42
Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets 28,£16.99,£16.99,£16.99,£16.99,£16.99,£16.99
Telmisartan 80mg / Hydrochlorothiazide 25mg tablets 28,£22.35,£22.70,£24.55,£23.57,£23.67,£23.70
Telmisartan 80mg tablets 28,£2.40,£1.73,£1.67,£1.67,£1.68,£1.68
Temazepam 10mg tablets 28,£9.69,£1.91,£1.84,£1.84,£1.21,£1.21
Temazepam 10mg/5ml oral solution sugar free 300,£219.70,£218.47,£220.93,£183.28,£183.28,£183.28
Temazepam 20mg tablets 28,£9.49,£2.21,£2.13,£2.13,£1.18,£1.18
Temocillin 1g powder for solution for injection vials 1,£25.45,£25.45,£25.45,£25.45,£25.45,£25.45
Tenofovir 123mg tablets 30,£102.60,£102.60,£102.60,£102.60,£102.60,£102.60
Tenofovir 163mg tablets 30,£135.98,£135.98,£135.98,£135.98,£135.98,£135.98
Tenofovir 204mg tablets 30,£170.19,£170.19,£170.19,£170.19,£170.19,£170.19
Tenofovir 245mg tablets 30,£28.39,£28.39,£28.39,£28.39,£28.39,£28.39
Tenoxicam 20mg tablets 30,£13.42,£13.42,£13.42,£13.42,£13.42,£13.42
Terazosin 10mg tablets 28,£8.09,£8.09,£8.09,£8.09,£8.09,£8.09
Terazosin 2mg tablets 28,£2.80,£2.82,£2.82,£2.88,£2.83,£2.72
Terazosin 5mg tablets 28,£5.26,£5.27,£5.49,£5.28,£5.31,£5.48
Terbinafine 1% cream 15,£1.49,£1.61,£1.55,£1.55,£1.44,£1.44
Terbinafine 1% cream 30,£2.98,£1.61,£1.55,£1.55,£1.44,£1.44
Terbinafine 1% gel 15,£3.58,£3.58,£3.58,£3.58,£3.58,£3.58
Terbinafine 1% solution 4,£5.70,£5.70,£5.70,£5.70,£5.70,£5.70
Terbinafine 1% spray 15,£3.58,£3.58,£3.58,£3.58,£3.58,£3.58
Terbinafine 250mg tablets 14,£1.25,£1.16,£1.12,£1.12,£1.10,£1.10
Terbutaline 2.5mg/5ml solution for injection ampoules 10,£20.09,£20.09,£20.09,£20.09,£20.09,£20.09
Terbutaline 500micrograms/1ml solution for injection ampoules 5,£6.48,£6.48,£6.48,£6.48,£6.48,£6.48
Terbutaline 500micrograms/dose dry powder inhaler 120,£8.30,£8.30,£8.30,£8.30,£8.30,£8.30
Terbutaline 5mg tablets 100,£14.73,£14.73,£14.73,£14.73,£14.73,£14.73
Terbutaline 5mg/2ml nebuliser liquid unit dose vials 20,£9.77,£9.57,£10.11,£9.91,£9.89,£9.69
Teriparatide 600micrograms/2.4ml solution for injection pre-filled disposable devices 1,£271.88,£271.88,£271.88,£271.88,£271.88,£271.88
Testosterone 16.2mg/g gel (20.25mg per actuation) 88,£31.11,£31.11,£31.11,£31.11,£31.11,£31.11
Testosterone 2% gel (10mg per actuation) 60,£28.63,£28.63,£28.63,£28.63,£28.63,£28.63
Testosterone 20mg/g transdermal gel (23mg per actuation) 85.5,£25.22,£25.22,£25.22,£25.22,£25.22,£25.22
Testosterone 50mg/5g gel unit dose sachets 30,£31.11,£31.11,£31.11,£31.11,£31.11,£31.11
Testosterone 50mg/5g gel unit dose tube 30,£30.50,£30.50,£30.50,£30.50,£30.50,£30.50
Testosterone enantate 250mg/1ml solution for injection ampoules 3,£87.73,£87.73,£87.73,£87.73,£87.73,£87.73
Testosterone undecanoate 1g/4ml solution for injection vials 1,£87.11,£87.11,£87.11,£87.11,£87.11,£87.11
Tetanus immunoglobulin human 250unit solution for injection vials 1,£250.00,£250.00,£250.00,£250.00,£250.00,£250.00
Tetrabenazine 25mg tablets 112,£107.69,£107.69,£107.69,£107.69,£107.69,£107.69
